Horse Name and ID,Image URL,Country of Origin / Age,Colour / Sex,Import Type,Season Stakes*,Total Stakes*,No. of 1-2-3-Starts*,No. of starts in past 10race meetings,Current Stable Location(Arrival Date),Import Date,PP Pre-import races footage,Country of Origin,
SUPREME WINNER (J255),/racing/content/Images/horse/J255_s.jpg,AUS / 2,Bay / Gelding,PPG,$0,$0,0-0-0-4,2,Conghua(17/06/2024),19/12/2023,,,
SMART ZIPANG (J165),/racing/content/Images/horse/J165_s.jpg,JPN / 3,Bay / Gelding,PPG,$0,$0,0-0-0-2,2,Hong Kong(26/03/2024),07/10/2023,,,
NEW ASIA GREAT (J412),/racing/content/Images/horse/J412_s.jpg,AUS / 2,Bay / Gelding,PPG,$0,$0,0-0-0-1,1,Hong Kong(23/05/2024),12/03/2024,,,
ANGELIC (J336),/racing/content/Images/horse/J336_s.jpg,AUS / 2,Chestnut / Gelding,PPG,$0,$0,0-0-0-1,1,Conghua(21/06/2024),22/01/2024,,,
TACTICAL COMMAND (H197),/racing/content/Images/horse/H197_s.jpg,NZ / 4,Bay / Gelding,PPG,"$1,487,700","$1,487,700",2-1-2-18,3,Conghua(21/06/2024),11/10/2022,,,
COLONEL (D090),/racing/content/Images/horse/D090_s.jpg,NZ / 7,Brown / Gelding,PPG,"$1,287,800","$6,075,540",5-6-7-68,2,Conghua(17/06/2024),02/08/2019,,,
HO HO STAR (H291),/racing/content/Images/horse/H291_s.jpg,NZ / 4,Bay / Gelding,PPG,"$100,625","$138,425",0-0-1-13,1,Hong Kong(28/03/2024),19/12/2022,,,
CHEER FOR SOUTH (H178),/racing/content/Images/horse/H178_s.jpg,AUS / 4,Bay / Gelding,PPG,"$391,800","$618,600",0-1-1-13,1,Conghua(24/06/2024),11/10/2022,,,
CIRCUIT SPLENDOR (E482),/racing/content/Images/horse/E482_s.jpg,AUS / 6,Bay / Gelding,ISG,"$315,000","$869,850",1-1-2-23,1,Hong Kong(08/06/2024),28/06/2021,,,
TIMESTORM (G109),/racing/content/Images/horse/G109_s.jpg,AUS / 5,Bay / Horse,PPG,"$748,575","$1,622,975",1-1-3-25,1,Conghua(19/06/2024),09/08/2021,,,
SONIC BOOM (H144),/racing/content/Images/horse/H144_s.jpg,AUS / 3,Brown / Gelding,PPG,"$306,550","$390,150",0-1-0-12,1,Hong Kong(13/09/2022),13/09/2022,,,
THE GOOD DEAL (G025),/racing/content/Images/horse/G025_s.jpg,AUS / 6,Bay / Gelding,PPG,"$554,350","$1,785,550",3-0-3-33,2,Hong Kong(23/03/2024),05/07/2021,,,
WIND SPEEDER (E281),/racing/content/Images/horse/E281_s.jpg,AUS / 6,Bay / Gelding,PP,"$390,950","$2,142,500",1-3-3-41,1,Hong Kong(01/06/2022),09/11/2020,,,
SIX BEST FRIENDS (G205) (Retired),/racing/content/Images/horse/G205_s.jpg,,Bay / Gelding,PPG,,"$228,800",0-1-0-16,,,,,AUS,"Form Records
Other Horses"
HAPPY FEELING (H443),/racing/content/Images/horse/H443_s.jpg,AUS / 4,Bay / Brown / Gelding,PPG,"$269,100","$269,100",0-0-2-9,1,Conghua(21/06/2024),05/06/2023,,,
COMMANDING MISSILE (G210),/racing/content/Images/horse/G210_s.jpg,AUS / 6,Bay / Gelding,PP,"$530,075","$1,550,675",1-3-1-27,2,Hong Kong(13/07/2022),27/09/2021,,,
CASA LEGEND (G126),/racing/content/Images/horse/G126_s.jpg,NZ / 5,Bay / Gelding,PPG,"$638,750","$1,508,350",1-2-1-25,2,Hong Kong(16/08/2023),09/08/2021,,,
LEATHER MASTER (H034),/racing/content/Images/horse/H034_s.jpg,NZ / 4,Chestnut / Gelding,PPG,"$262,500","$262,500",0-1-0-11,1,Hong Kong(02/03/2024),05/07/2022,,,
SMART BEAUTY (G477),/racing/content/Images/horse/G477_s.jpg,IRE / 5,Grey / Gelding,ISG,"$2,187,500","$2,215,850",3-1-3-28,2,Hong Kong(10/07/2022),10/07/2022,,,
FOXHUNTER WAY (E296),/racing/content/Images/horse/E296_s.jpg,NZ / 6,Bay / Gelding,PPG,"$345,625","$1,163,675",1-2-1-33,2,Conghua(17/06/2024),09/11/2020,,,
SUPERB DADDY (D235),/racing/content/Images/horse/D235_s.jpg,AUS / 7,Bay / Gelding,PP,"$345,625","$2,773,715",3-2-4-54,3,Hong Kong(18/02/2022),21/10/2019,,,
GENERAL WINNER (E376),/racing/content/Images/horse/E376_s.jpg,AUS / 6,Bay / Gelding,PPG,"$385,000","$1,145,950",0-4-2-28,2,Hong Kong(16/02/2024),20/01/2021,,,
JOYFUL FRIENDSHIP (H295),/racing/content/Images/horse/H295_s.jpg,AUS / 4,Chestnut / Gelding,PP,"$231,275","$231,275",0-0-1-15,2,Hong Kong(09/05/2024),16/01/2023,,,
HAPPY HUNK (H101),/racing/content/Images/horse/H101_s.jpg,NZ / 4,Bay / Gelding,PPG,$0,$0,0-0-0-12,1,Hong Kong(09/08/2022),09/08/2022,,,
RELIABLE PROFIT (G462),/racing/content/Images/horse/G462_s.jpg,NZ / 5,Grey / Gelding,ISG,"$370,800","$435,600",0-1-0-11,2,Hong Kong(20/04/2024),10/07/2022,,,
DIAMOND WINNER (H285),/racing/content/Images/horse/H285_s.jpg,FR / 5,Brown / Gelding,PPG,"$721,875","$721,875",0-2-2-22,3,Conghua(21/06/2024),19/12/2022,,,
HANG'S CHOICE (E311),/racing/content/Images/horse/E311_s.jpg,IRE / 6,Chestnut / Gelding,PPG,"$822,500","$1,272,050",1-2-3-30,2,Hong Kong(09/08/2023),19/12/2020,,,
SUNNY BABY (E166),/racing/content/Images/horse/E166_s.jpg,NZ / 6,Chestnut / Gelding,PPG,"$918,750","$3,122,500",3-4-5-42,3,Conghua(19/06/2024),02/09/2020,,,
BULB PRINCE (G179),/racing/content/Images/horse/G179_s.jpg,NZ / 5,Bay / Gelding,PPG,$0,"$737,100",1-1-0-16,2,Conghua(17/06/2024),13/09/2021,,,
LADY BILLIE (H365),/racing/content/Images/horse/H365_s.jpg,AUS / 3,Bay / Filly,PPG,$0,$0,0-0-0-6,2,Hong Kong(20/03/2023),20/03/2023,,,
GLORY ELITE (H311),/racing/content/Images/horse/H311_s.jpg,AUS / 3,Bay / Gelding,PPG,"$1,801,800","$1,801,800",2-1-1-7,2,Hong Kong(16/01/2023),16/01/2023,,,
METRO WARRIOR (D387),/racing/content/Images/horse/D387_s.jpg,AUS / 7,Bay / Gelding,PP,"$1,468,350","$8,824,850",4-6-12-57,2,Hong Kong(23/05/2024),24/02/2020,,,
BRILLIANT EXPRESS (J321),/racing/content/Images/horse/J321_s.jpg,AUS / 3,Bay / Gelding,PPG,"$175,500","$175,500",0-0-1-2,2,Hong Kong(08/01/2024),08/01/2024,,,
SPICY SO SMART (G203),/racing/content/Images/horse/G203_s.jpg,AUS / 4,Bay / Gelding,PPG,"$560,200","$625,000",1-0-0-12,1,Hong Kong(02/01/2024),20/09/2021,,,
YODA'S CHOICE (J146),/racing/content/Images/horse/J146_s.jpg,AUS / 3,Grey / Gelding,PPG,"$468,000","$468,000",0-1-0-7,2,Conghua(21/06/2024),18/09/2023,,,
WINNING TURN (J163),/racing/content/Images/horse/J163_s.jpg,NZ / 3,Chestnut / Gelding,PPG,"$23,400","$23,400",0-0-0-3,2,Conghua(17/06/2024),21/09/2023,,,
DRACO (J115),/racing/content/Images/horse/J115_s.jpg,AUS / 3,Bay / Gelding,PPG,"$64,350","$64,350",0-0-0-4,3,Conghua(19/06/2024),28/08/2023,,,
OMAKASE (H416),/racing/content/Images/horse/H416_s.jpg,NZ / 4,Bay / Gelding,PPG,$0,$0,0-0-0-3,2,Hong Kong(08/05/2023),08/05/2023,,,
WISDOM STAR (J351),/racing/content/Images/horse/J351_s.jpg,AUS / 3,Bay / Gelding,PPG,$0,$0,0-0-0-1,1,Hong Kong(01/05/2024),25/01/2024,,,
HAPPY TRIO (G244),/racing/content/Images/horse/G244_s.jpg,AUS / 5,Bay / Gelding,PPG,"$1,913,400","$4,081,700",4-3-5-31,1,Hong Kong(27/04/2024),18/10/2021,,,
SUPER BEN (J148),/racing/content/Images/horse/J148_s.jpg,AUS / 3,Bay / Gelding,PPG,$0,$0,0-0-0-1,1,Hong Kong(30/05/2024),18/09/2023,,,
CIRCUIT VICTORY (H487),/racing/content/Images/horse/H487_s.jpg,NZ / 4,Brown / Gelding,ISG,$0,$0,0-0-0-2,2,Hong Kong(01/07/2023),01/07/2023,,,
CAPTAIN WIN (E466),/racing/content/Images/horse/E466_s.jpg,AUS / 6,Bay / Gelding,PP,"$1,873,500","$5,314,250",2-6-2-32,2,Conghua(21/06/2024),21/06/2021,,,
BALLISTIC WIN (J040),/racing/content/Images/horse/J040_s.jpg,NZ / 3,Brown / Gelding,PPG,"$409,500","$409,500",0-1-0-6,2,Hong Kong(05/12/2023),27/07/2023,,,
FUN N FUN TOGETHER (J232),/racing/content/Images/horse/J232_s.jpg,NZ / 3,Bay / Gelding,PPG,"$157,950","$157,950",0-0-1-2,2,Hong Kong(01/05/2024),09/11/2023,,,
FAMILY JEWEL (J390),/racing/content/Images/horse/J390_s.jpg,NZ / 3,Bay / Gelding,PPG,"$70,200","$70,200",0-0-0-1,1,Hong Kong(25/05/2024),22/02/2024,,,
SUPER LEGENDS (H364),/racing/content/Images/horse/H364_s.jpg,AUS / 3,Brown / Gelding,PPG,"$1,392,300","$1,392,300",1-2-1-10,2,Conghua(17/06/2024),20/03/2023,,,
VIEW OF THE WORLD (J348),/racing/content/Images/horse/J348_s.jpg,NZ / 3,Bay / Gelding,PPG,"$23,400","$23,400",0-0-0-1,1,Hong Kong(25/01/2024),25/01/2024,,,
DRAGON FOUR SEAS (J317),/racing/content/Images/horse/J317_s.jpg,AUS / 3,Bay / Gelding,PPG,$0,$0,0-0-0-2,2,Hong Kong(08/01/2024),08/01/2024,,,
NEBRASKAN (J304),/racing/content/Images/horse/J304_s.jpg,AUS / 3,Bay / Gelding,PP,"$37,200","$37,200",0-0-0-4,2,Hong Kong(08/01/2024),08/01/2024,,,
PACKING BRILLIANT (H421),/racing/content/Images/horse/H421_s.jpg,AUS / 4,Bay / Gelding,PPG,"$23,400","$23,400",0-0-0-5,1,Conghua(17/06/2024),08/05/2023,,,
SHINKANSEN (H277),/racing/content/Images/horse/H277_s.jpg,AUS / 4,Chestnut / Gelding,PPG,"$1,152,450","$1,152,450",1-1-1-14,2,Hong Kong(27/04/2024),19/12/2022,,,
AWESOME TREASURE (E435),/racing/content/Images/horse/E435_s.jpg,NZ / 6,Bay / Gelding,PPG,"$2,047,500","$4,057,435",2-9-0-29,2,Conghua(24/06/2024),10/05/2021,,,
SPICY KNUCKLES (H463),/racing/content/Images/horse/H463_s.jpg,AUS / 3,Chestnut / Gelding,PPG,$0,$0,0-0-0-1,1,Hong Kong(26/06/2023),26/06/2023,,,
CALL ME GLORIOUS (H410),/racing/content/Images/horse/H410_s.jpg,AUS / 3,Bay / Gelding,PPG,"$3,240,600","$3,240,600",3-1-0-5,2,Hong Kong(28/12/2023),08/05/2023,,,
GRACIOUS EXPRESS (J188),/racing/content/Images/horse/J188_s.jpg,IRE / 4,Bay / Gelding,PP,"$3,499,500","$3,499,500",1-2-0-5,1,Hong Kong(13/06/2024),14/10/2023,,,
VICTOR THE RAPID (J393),/racing/content/Images/horse/J393_s.jpg,IRE / 4,Bay / Gelding,PP,"$213,900","$213,900",0-0-1-1,1,Hong Kong(14/05/2024),24/02/2024,,,
IMA SINGLE MAN (D476),/racing/content/Images/horse/D476_s.jpg,AUS / 6,Bay / Gelding,PP,"$1,925,100","$11,662,000",5-6-3-50,2,Conghua(17/06/2024),29/06/2020,,,
GREAT STATE (J124),/racing/content/Images/horse/J124_s.jpg,GB / 4,Grey / Gelding,PP,"$130,200","$130,200",0-0-0-5,2,Hong Kong(09/09/2023),09/09/2023,,,
MIGHTY COMMANDER (J360),/racing/content/Images/horse/J360_s.jpg,AUS / 3,Bay / Gelding,PP,"$37,200","$37,200",0-0-0-1,1,Hong Kong(30/05/2024),20/02/2024,,,
PRESTIGE ALWAYS (J300),/racing/content/Images/horse/J300_s.jpg,IRE / 3,Bay / Gelding,PP,"$65,100","$65,100",0-0-0-2,2,Hong Kong(23/05/2024),23/12/2023,,,
RICH HORSE (J191),/racing/content/Images/horse/J191_s.jpg,IRE / 3,Bay / Colt,PP,$0,$0,0-0-0-1,1,Hong Kong(12/03/2024),14/10/2023,,,
PULSAR STRIDER (G407) (Retired),/racing/content/Images/horse/G407_s.jpg,,Bay / Gelding,PP,,"$3,432,250",2-1-1-18,,,,,AUS,"Form Records
Overseas formrecords
Other Horses"
AORAKI SUMMIT (H300) (Retired),/racing/content/Images/horse/H300_s.jpg,,Brown / Grey / Gelding,PP,,"$725,400",1-0-0-7,,,,,NZ,"Form Records
Overseas formrecords
Other Horses"
ACA POWER (E144),/racing/content/Images/horse/E144_s.jpg,AUS / 7,Bay / Gelding,PP,"$1,930,500","$3,649,250",4-4-2-39,1,Conghua(19/06/2024),24/08/2020,,,
ROBOT KNIGHT (H464),/racing/content/Images/horse/H464_s.jpg,AUS / 3,Chestnut / Gelding,PPG,"$585,000","$585,000",0-1-2-6,2,Hong Kong(26/03/2024),26/06/2023,,,
TOP SCORER (J120),/racing/content/Images/horse/J120_s.jpg,AUS / 3,Chestnut / Gelding,PPG,"$1,322,100","$1,322,100",0-4-2-7,2,Hong Kong(22/02/2024),28/08/2023,,,
HINOKAMI KAGURA (H384),/racing/content/Images/horse/H384_s.jpg,AUS / 3,Bay / Gelding,PPG,"$631,800","$631,800",0-2-0-9,1,Hong Kong(13/06/2024),20/03/2023,,,
CRAZY TREASURE (J063),/racing/content/Images/horse/J063_s.jpg,AUS / 3,Bay / Gelding,PPG,"$245,700","$245,700",0-0-0-9,2,Hong Kong(31/07/2023),31/07/2023,,,
STRIVE FOR GLORY (D186),/racing/content/Images/horse/D186_s.jpg,USA / 7,Brown / Gelding,PP,"$1,735,900","$3,341,750",4-2-3-51,2,Conghua(17/06/2024),21/09/2019,,,
FORTUNE WHISKEY (J153),/racing/content/Images/horse/J153_s.jpg,NZ / 3,Bay / Gelding,PP,$0,$0,0-0-0-6,2,Hong Kong(21/09/2023),21/09/2023,,,
TRIUMPHANT WARRIOR (H430),/racing/content/Images/horse/H430_s.jpg,IRE / 4,Bay / Gelding,PPG,"$713,700","$713,700",0-1-3-9,2,Conghua(19/06/2024),15/05/2023,,,
EVERYONE'S VICTORY (E177) (Retired),/racing/content/Images/horse/E177_s.jpg,,Bay / Gelding,PPG,,"$4,077,875",3-6-3-36,,,,,AUS,"Form Records
Other Horses"
HIGH RISE POWER (H353),/racing/content/Images/horse/H353_s.jpg,AUS / 4,Bay / Gelding,PPG,"$64,350","$64,350",0-0-0-8,2,Conghua(17/06/2024),20/02/2023,,,
DAILY TROPHY (H283),/racing/content/Images/horse/H283_s.jpg,NZ / 4,Bay / Gelding,PPG,"$1,170,850","$1,170,850",1-2-1-19,2,Hong Kong(06/05/2024),19/12/2022,,,
THE GREAT MASTER (H457),/racing/content/Images/horse/H457_s.jpg,AUS / 4,Bay / Gelding,PP,"$46,800","$46,800",0-0-0-10,3,Hong Kong(26/06/2023),26/06/2023,,,
CAPITAL DELIGHT (H262),/racing/content/Images/horse/H262_s.jpg,AUS / 4,Chestnut / Gelding,PP,"$5,359,500","$5,359,500",3-1-2-14,2,Conghua(21/06/2024),19/12/2022,,,
SELF IMPROVEMENT (H337),/racing/content/Images/horse/H337_s.jpg,AUS / 4,Bay / Gelding,PP,"$4,052,400","$4,871,775",2-3-2-16,2,Hong Kong(20/02/2023),20/02/2023,,,
VICTORY MOMENTS (H142),/racing/content/Images/horse/H142_s.jpg,AUS / 4,Chestnut / Gelding,PP,"$4,903,800","$5,360,925",2-2-4-12,2,Conghua(24/06/2024),13/09/2022,,,
SUPER WIN DRAGON (E253),/racing/content/Images/horse/E253_s.jpg,AUS / 6,Brown / Gelding,PP,"$613,800","$6,952,100",4-3-3-35,3,Hong Kong(01/05/2024),20/10/2020,,,
YOUTHFUL DEAL (G340),/racing/content/Images/horse/G340_s.jpg,AUS / 5,Bay / Gelding,PPG,"$409,300","$6,540,475",4-3-1-22,1,Hong Kong(11/06/2024),25/01/2022,,,
MUST GO (J133),/racing/content/Images/horse/J133_s.jpg,AUS / 3,Bay / Brown / Gelding,PP,"$1,833,150","$1,833,150",2-1-1-14,2,Hong Kong(18/09/2023),18/09/2023,,,
JOY COMING (H149),/racing/content/Images/horse/H149_s.jpg,AUS / 4,Brown / Gelding,PPG,"$1,770,000","$2,752,800",3-1-2-17,2,Hong Kong(13/06/2024),13/09/2022,,,
HONG KONG HALL (G315),/racing/content/Images/horse/G315_s.jpg,NZ / 4,Bay / Gelding,PPG,"$2,124,600","$3,339,600",3-3-2-15,2,Conghua(19/06/2024),20/12/2021,,,
HIGHLAND RAHY (J298),/racing/content/Images/horse/J298_s.jpg,USA / 4,Bay / Gelding,PP,$0,$0,0-0-0-3,2,Conghua(21/06/2024),23/12/2023,,,
MAGNIAC (H141),/racing/content/Images/horse/H141_s.jpg,AUS / 4,Brown / Gelding,PP,"$1,986,900","$4,806,775",2-2-2-18,2,Conghua(21/06/2024),13/09/2022,,,
SUNLIGHT POWER (H244),/racing/content/Images/horse/H244_s.jpg,AUS / 4,Chestnut / Gelding,PPG,"$3,164,550","$3,353,550",3-2-1-13,2,Conghua(17/06/2024),07/11/2022,,,
PATCH OF THETA (H485),/racing/content/Images/horse/H485_s.jpg,AUS / 4,Chestnut / Gelding,ISG,"$5,103,400","$5,103,400",3-3-3-9,2,Hong Kong(01/07/2023),01/07/2023,,,
BEAUTY FIT (E279),/racing/content/Images/horse/E279_s.jpg,AUS / 7,Bay / Gelding,PP,"$3,726,950","$8,571,975",4-5-8-52,2,Hong Kong(09/11/2020),09/11/2020,,,
FANTASTIC FUN (J364),/racing/content/Images/horse/J364_s.jpg,AUS / 3,Chestnut / Gelding,PP,"$111,600","$111,600",0-0-0-1,1,Conghua(21/06/2024),20/02/2024,,,
